y,kappa_y,r_ab_y
-3.26,-0.35664268464719956,0.7000225818683086
-3.25,-0.3566416606841671,0.7000232986659213
-3.24,-0.3566406042207222,0.7000240382153375
-3.23,-0.3566395142254272,0.7000248012386614
-3.2199999999999998,-0.35663838963411854,0.7000255884809115
-3.21,-0.3566372293488685,0.7000264007107476
-3.2,-0.35663603223691465,0.7000272387212215
-3.19,-0.3566347971295552,0.7000281033305498
-3.1799999999999997,-0.35663352282100963,0.7000289953829124
-3.17,-0.3566322080672422,0.7000299157492764
-3.16,-0.3566308515847498,0.7000308653282453
-3.15,-0.3566294520493098,0.7000318450469359
-3.14,-0.3566280080946896,0.7000328558618827
-3.13,-0.3566265183113144,0.7000338987599704
-3.12,-0.3566249812448933,0.7000349747593967
-3.11,-0.3566233953950011,0.7000360849106662
-3.1,-0.3566217592136166,0.7000372302976139
-3.09,-0.35662007110361355,0.7000384120384623
-3.08,-0.35661832941720345,0.7000396312869128
-3.07,-0.356616532454331,0.7000408892332698
-3.06,-0.3566146784610163,0.7000421871056015
-3.05,-0.3566127656276463,0.7000435261709381
-3.04,-0.3566107920872115,0.7000449077365064
-3.0300000000000002,-0.3566087559134874,0.7000463331510045
-3.02,-0.3566066551191574,0.7000478038059167
-3.01,-0.35660448765387737,0.7000493211368701
-3.0,-0.3566022514022786,0.7000508866250341
-2.99,-0.3565999441819073,0.700052501798564
-2.98,-0.3565975637410997,0.7000541682340902
-2.9699999999999998,-0.35659510775678877,0.7000558875582554
-2.96,-0.3565925738322432,0.7000576614492997
-2.95,-0.35658995949473316,0.7000594916386955
-2.94,-0.356587262193124,0.7000613799128355
-2.9299999999999997,-0.35658447929539216,0.7000633281147726
-2.92,-0.35658160808606437,0.7000653381460159
-2.91,-0.35657864576357445,0.7000674119683832
-2.9,-0.35657558943753737,0.7000695516059119
-2.8899999999999997,-0.3565724361259375,0.7000717591468302
-2.88,-0.35656918275222704,0.7000740367455918
-2.87,-0.35656582614233384,0.7000763866249733
-2.86,-0.3565623630215742,0.7000788110782392
-2.8499999999999996,-0.3565587900114689,0.7000813124713745
-2.84,-0.3565551036264575,0.7000838932453883
-2.83,-0.3565513002705102,0.700086555918691
-2.8200000000000003,-0.3565473762336327,0.7000893030895438
-2.81,-0.35654332768825997,0.7000921374385898
-2.8,-0.3565391506855371,0.7000950617314615
-2.79,-0.35653484115148265,0.7000980788214725
-2.7800000000000002,-0.3565303948830313,0.7001011916523935
-2.77,-0.35652580754395125,0.7001044032613163
-2.76,-0.35652107466063393,0.7001077167816081
-2.75,-0.35651619161775006,0.7001111354459593
-2.74,-0.3565111536537697,0.7001146625895267
-2.73,-0.35650595585634076,0.7001183016531773
-2.7199999999999998,-0.35650059315752297,0.7001220561868332
-2.71,-0.3564950603288707,0.7001259298529219
-2.7,-0.35648935197636167,0.7001299264299371
-2.69,-0.3564834625351669,0.7001340498161097
-2.6799999999999997,-0.35647738626425507,0.7001383040331959
-2.67,-0.3564711172408277,0.7001426932303842
-2.66,-0.3564646493545805,0.7001472216883257
-2.65,-0.3564579763017831,0.7001518938232906
-2.6399999999999997,-0.3564510915791737,0.7001567141914574
-2.63,-0.356443988477662,0.7001616874933353
-2.62,-0.3564366600758349,0.7001668185783265
-2.61,-0.3564290992332579,0.7001721124494324
-2.5999999999999996,-0.35642129858356697,0.7001775742681079
-2.59,-0.3564132505273444,0.7001832093592671
-2.58,-0.3564049472247703,0.7001890232164488
-2.5700000000000003,-0.3563963805880455,0.700195021507142
-2.56,-0.3563875422735765,0.7002012100782798
-2.55,-0.35637842367391603,0.7002075949619069
-2.54,-0.356369015909452,0.7002141823810226
-2.5300000000000002,-0.35635930981983693,0.7002209787556096
-2.52,-0.35634929595514864,0.7002279907088511
-2.51,-0.35633896456677655,0.7002352250735426
-2.5,-0.3563283055980227,0.7002426888987052
-2.49,-0.35631730867440986,0.7002503894564067
-2.48,-0.35630596309368806,0.7002583342487948
-2.4699999999999998,-0.3562942578155292,0.7002665310153529
-2.46,-0.35628218145090157,0.7002749877403811
-2.45,-0.356269722251114,0.7002837126607122
-2.44,-0.3562568680965186,0.7002927142736693
-2.4299999999999997,-0.3562436064848633,0.7003020013452717
-2.42,-0.3562299245192833,0.7003115829186969
-2.41,-0.3562158088959187,0.7003214683230085
-2.4,-0.3562012458911499,0.7003316671821542
-2.3899999999999997,-0.35618622134843647,0.7003421894242471
-2.38,-0.3561707206647498,0.7003530452911342
-2.37,-0.3561547287765854,0.7003642453482649
-2.36,-0.35613823014554347,0.7003758004948656
-2.3499999999999996,-0.35612120874346487,0.7003877219744319
-2.34,-0.3561036480371081,0.7004000213855461
-2.33,-0.3560855309723545,0.7004127106930332
-2.3200000000000003,-0.3560668399579275,0.7004258022394604
-2.31,-0.35604755684861095,0.7004393087569964
-2.3,-0.3560276629279524,0.7004532433796378
-2.29,-0.35600713889043584,0.7004676196558125
-2.2800000000000002,-0.35598596482310785,0.7004824515613776
-2.27,-0.35596412018664103,0.7004977535130155
-2.26,-0.3559415837958194,0.7005135403820472
-2.25,-0.3559183337994274,0.7005298275086707
-2.24,-0.35589434765952493,0.7005466307166404
-2.23,-0.3558696021300931,0.7005639663283977
-2.2199999999999998,-0.35584407323502837,0.7005818511806695
-2.21,-0.35581773624546964,0.7006003026405461
